,date,variant,num_sequences,perc_sequences,num_sequences_total
0,2020-05-11,Alpha,0,0.0,3
1,2020-05-11,Beta,0,0.0,3
2,2020-05-11,Delta,0,0.0,3
3,2020-05-11,Omicron,0,0.0,3
4,2020-05-25,Alpha,0,0.0,1
5,2020-05-25,Beta,0,0.0,1
6,2020-05-25,Delta,0,0.0,1
7,2020-05-25,Omicron,0,0.0,1
8,2020-07-06,Alpha,0,0.0,2
9,2020-07-06,Beta,0,0.0,2
10,2020-07-06,Delta,0,0.0,2
11,2020-07-06,Omicron,0,0.0,2
12,2020-07-20,Alpha,0,0.0,1
13,2020-07-20,Beta,0,0.0,1
14,2020-07-20,Delta,0,0.0,1
15,2020-07-20,Omicron,0,0.0,1
16,2020-08-03,Alpha,0,0.0,1
17,2020-08-03,Beta,0,0.0,1
18,2020-08-03,Delta,0,0.0,1
19,2020-08-03,Omicron,0,0.0,1
20,2020-08-17,Alpha,0,0.0,2
21,2020-08-17,Beta,0,0.0,2
22,2020-08-17,Delta,0,0.0,2
23,2020-08-17,Omicron,0,0.0,2
24,2020-08-31,Alpha,0,0.0,1
25,2020-08-31,Beta,0,0.0,1
26,2020-08-31,Delta,0,0.0,1
27,2020-08-31,Omicron,0,0.0,1
28,2020-09-14,Alpha,0,0.0,4
29,2020-09-14,Beta,0,0.0,4
30,2020-09-14,Delta,0,0.0,4
31,2020-09-14,Omicron,0,0.0,4
32,2020-09-28,Alpha,0,0.0,6
33,2020-09-28,Beta,0,0.0,6
34,2020-09-28,Delta,0,0.0,6
35,2020-09-28,Omicron,0,0.0,6
36,2020-10-12,Alpha,0,0.0,1
37,2020-10-12,Beta,0,0.0,1
38,2020-10-12,Delta,0,0.0,1
39,2020-10-12,Omicron,0,0.0,1
40,2020-10-26,Alpha,0,0.0,1
41,2020-10-26,Beta,0,0.0,1
42,2020-10-26,Delta,0,0.0,1
43,2020-10-26,Omicron,0,0.0,1
44,2020-11-09,Alpha,0,0.0,1
45,2020-11-09,Beta,0,0.0,1
46,2020-11-09,Delta,0,0.0,1
47,2020-11-09,Omicron,0,0.0,1
48,2020-11-23,Alpha,0,0.0,15
49,2020-11-23,Beta,0,0.0,15
50,2020-11-23,Delta,0,0.0,15
51,2020-11-23,Omicron,0,0.0,15
52,2020-12-07,Alpha,1,1.82,55
53,2020-12-07,Beta,0,0.0,55
54,2020-12-07,Delta,0,0.0,55
55,2020-12-07,Omicron,0,0.0,55
56,2020-12-21,Alpha,0,0.0,1
57,2020-12-21,Beta,0,0.0,1
58,2020-12-21,Delta,0,0.0,1
59,2020-12-21,Omicron,0,0.0,1
60,2021-01-04,Alpha,18,18.75,96
61,2021-01-04,Beta,0,0.0,96
62,2021-01-04,Delta,0,0.0,96
63,2021-01-04,Omicron,0,0.0,96
64,2021-01-11,Alpha,39,75.0,52
65,2021-01-11,Beta,0,0.0,52
66,2021-01-11,Delta,0,0.0,52
67,2021-01-11,Omicron,0,0.0,52
68,2021-01-25,Alpha,21,70.0,30
69,2021-01-25,Beta,0,0.0,30
70,2021-01-25,Delta,0,0.0,30
71,2021-01-25,Omicron,0,0.0,30
72,2021-02-08,Alpha,99,84.62,117
73,2021-02-08,Beta,0,0.0,117
74,2021-02-08,Delta,0,0.0,117
75,2021-02-08,Omicron,0,0.0,117
76,2021-02-22,Alpha,45,72.58,62
77,2021-02-22,Beta,8,12.9,62
78,2021-02-22,Delta,0,0.0,62
79,2021-02-22,Omicron,0,0.0,62
