,location,date,variant,num_sequences,perc_sequences,num_sequences_total
81312,Slovakia,2020-05-11,Alpha,0,0.0,3
81313,Slovakia,2020-05-11,B.1.1.277,0,0.0,3
81314,Slovakia,2020-05-11,B.1.1.302,0,0.0,3
81315,Slovakia,2020-05-11,B.1.1.519,0,0.0,3
81316,Slovakia,2020-05-11,B.1.160,0,0.0,3
81317,Slovakia,2020-05-11,B.1.177,0,0.0,3
81318,Slovakia,2020-05-11,B.1.221,0,0.0,3
81319,Slovakia,2020-05-11,B.1.258,0,0.0,3
81320,Slovakia,2020-05-11,B.1.367,0,0.0,3
81321,Slovakia,2020-05-11,B.1.620,0,0.0,3
81322,Slovakia,2020-05-11,Beta,0,0.0,3
81323,Slovakia,2020-05-11,Delta,0,0.0,3
81324,Slovakia,2020-05-11,Epsilon,0,0.0,3
81325,Slovakia,2020-05-11,Eta,0,0.0,3
81326,Slovakia,2020-05-11,Gamma,0,0.0,3
81327,Slovakia,2020-05-11,Iota,0,0.0,3
81328,Slovakia,2020-05-11,Kappa,0,0.0,3
81329,Slovakia,2020-05-11,Lambda,0,0.0,3
81330,Slovakia,2020-05-11,Mu,0,0.0,3
81331,Slovakia,2020-05-11,Omicron,0,0.0,3
81332,Slovakia,2020-05-11,S:677H.Robin1,0,0.0,3
81333,Slovakia,2020-05-11,S:677P.Pelican,0,0.0,3
81334,Slovakia,2020-05-11,others,3,100.0,3
81335,Slovakia,2020-05-11,non_who,3,100.0,3
81336,Slovakia,2020-05-25,Alpha,0,0.0,1
81337,Slovakia,2020-05-25,B.1.1.277,0,0.0,1
81338,Slovakia,2020-05-25,B.1.1.302,0,0.0,1
81339,Slovakia,2020-05-25,B.1.1.519,0,0.0,1
81340,Slovakia,2020-05-25,B.1.160,0,0.0,1
81341,Slovakia,2020-05-25,B.1.177,0,0.0,1
81342,Slovakia,2020-05-25,B.1.221,0,0.0,1
81343,Slovakia,2020-05-25,B.1.258,0,0.0,1
81344,Slovakia,2020-05-25,B.1.367,0,0.0,1
81345,Slovakia,2020-05-25,B.1.620,0,0.0,1
81346,Slovakia,2020-05-25,Beta,0,0.0,1
81347,Slovakia,2020-05-25,Delta,0,0.0,1
81348,Slovakia,2020-05-25,Epsilon,0,0.0,1
81349,Slovakia,2020-05-25,Eta,0,0.0,1
81350,Slovakia,2020-05-25,Gamma,0,0.0,1
81351,Slovakia,2020-05-25,Iota,0,0.0,1
81352,Slovakia,2020-05-25,Kappa,0,0.0,1
81353,Slovakia,2020-05-25,Lambda,0,0.0,1
81354,Slovakia,2020-05-25,Mu,0,0.0,1
81355,Slovakia,2020-05-25,Omicron,0,0.0,1
81356,Slovakia,2020-05-25,S:677H.Robin1,0,0.0,1
81357,Slovakia,2020-05-25,S:677P.Pelican,0,0.0,1
81358,Slovakia,2020-05-25,others,1,100.0,1
81359,Slovakia,2020-05-25,non_who,1,100.0,1
81360,Slovakia,2020-07-06,Alpha,0,0.0,2
81361,Slovakia,2020-07-06,B.1.1.277,0,0.0,2
81362,Slovakia,2020-07-06,B.1.1.302,0,0.0,2
81363,Slovakia,2020-07-06,B.1.1.519,0,0.0,2
81364,Slovakia,2020-07-06,B.1.160,0,0.0,2
81365,Slovakia,2020-07-06,B.1.177,0,0.0,2
81366,Slovakia,2020-07-06,B.1.221,0,0.0,2
81367,Slovakia,2020-07-06,B.1.258,0,0.0,2
81368,Slovakia,2020-07-06,B.1.367,0,0.0,2
81369,Slovakia,2020-07-06,B.1.620,0,0.0,2
81370,Slovakia,2020-07-06,Beta,0,0.0,2
81371,Slovakia,2020-07-06,Delta,0,0.0,2
81372,Slovakia,2020-07-06,Epsilon,0,0.0,2
81373,Slovakia,2020-07-06,Eta,0,0.0,2
81374,Slovakia,2020-07-06,Gamma,0,0.0,2
81375,Slovakia,2020-07-06,Iota,0,0.0,2
81376,Slovakia,2020-07-06,Kappa,0,0.0,2
81377,Slovakia,2020-07-06,Lambda,0,0.0,2
81378,Slovakia,2020-07-06,Mu,0,0.0,2
81379,Slovakia,2020-07-06,Omicron,0,0.0,2
81380,Slovakia,2020-07-06,S:677H.Robin1,0,0.0,2
81381,Slovakia,2020-07-06,S:677P.Pelican,0,0.0,2
81382,Slovakia,2020-07-06,others,2,100.0,2
81383,Slovakia,2020-07-06,non_who,2,100.0,2
81384,Slovakia,2020-07-20,Alpha,0,0.0,1
81385,Slovakia,2020-07-20,B.1.1.277,0,0.0,1
81386,Slovakia,2020-07-20,B.1.1.302,0,0.0,1
81387,Slovakia,2020-07-20,B.1.1.519,0,0.0,1
81388,Slovakia,2020-07-20,B.1.160,0,0.0,1
81389,Slovakia,2020-07-20,B.1.177,0,0.0,1
81390,Slovakia,2020-07-20,B.1.221,0,0.0,1
81391,Slovakia,2020-07-20,B.1.258,0,0.0,1
81392,Slovakia,2020-07-20,B.1.367,0,0.0,1
81393,Slovakia,2020-07-20,B.1.620,0,0.0,1
81394,Slovakia,2020-07-20,Beta,0,0.0,1
81395,Slovakia,2020-07-20,Delta,0,0.0,1
81396,Slovakia,2020-07-20,Epsilon,0,0.0,1
81397,Slovakia,2020-07-20,Eta,0,0.0,1
81398,Slovakia,2020-07-20,Gamma,0,0.0,1
81399,Slovakia,2020-07-20,Iota,0,0.0,1
81400,Slovakia,2020-07-20,Kappa,0,0.0,1
81401,Slovakia,2020-07-20,Lambda,0,0.0,1
81402,Slovakia,2020-07-20,Mu,0,0.0,1
81403,Slovakia,2020-07-20,Omicron,0,0.0,1
81404,Slovakia,2020-07-20,S:677H.Robin1,0,0.0,1
81405,Slovakia,2020-07-20,S:677P.Pelican,0,0.0,1
81406,Slovakia,2020-07-20,others,1,100.0,1
81407,Slovakia,2020-07-20,non_who,1,100.0,1
81408,Slovakia,2020-08-03,Alpha,0,0.0,1
81409,Slovakia,2020-08-03,B.1.1.277,0,0.0,1
81410,Slovakia,2020-08-03,B.1.1.302,0,0.0,1
81411,Slovakia,2020-08-03,B.1.1.519,0,0.0,1
81412,Slovakia,2020-08-03,B.1.160,0,0.0,1
81413,Slovakia,2020-08-03,B.1.177,0,0.0,1
81414,Slovakia,2020-08-03,B.1.221,0,0.0,1
81415,Slovakia,2020-08-03,B.1.258,0,0.0,1
81416,Slovakia,2020-08-03,B.1.367,0,0.0,1
81417,Slovakia,2020-08-03,B.1.620,0,0.0,1
81418,Slovakia,2020-08-03,Beta,0,0.0,1
81419,Slovakia,2020-08-03,Delta,0,0.0,1
81420,Slovakia,2020-08-03,Epsilon,0,0.0,1
81421,Slovakia,2020-08-03,Eta,0,0.0,1
81422,Slovakia,2020-08-03,Gamma,0,0.0,1
81423,Slovakia,2020-08-03,Iota,0,0.0,1
81424,Slovakia,2020-08-03,Kappa,0,0.0,1
81425,Slovakia,2020-08-03,Lambda,0,0.0,1
81426,Slovakia,2020-08-03,Mu,0,0.0,1
81427,Slovakia,2020-08-03,Omicron,0,0.0,1
81428,Slovakia,2020-08-03,S:677H.Robin1,0,0.0,1
81429,Slovakia,2020-08-03,S:677P.Pelican,0,0.0,1
81430,Slovakia,2020-08-03,others,1,100.0,1
81431,Slovakia,2020-08-03,non_who,1,100.0,1
81432,Slovakia,2020-08-17,Alpha,0,0.0,2
81433,Slovakia,2020-08-17,B.1.1.277,0,0.0,2
81434,Slovakia,2020-08-17,B.1.1.302,0,0.0,2
81435,Slovakia,2020-08-17,B.1.1.519,0,0.0,2
81436,Slovakia,2020-08-17,B.1.160,0,0.0,2
81437,Slovakia,2020-08-17,B.1.177,0,0.0,2
81438,Slovakia,2020-08-17,B.1.221,0,0.0,2
81439,Slovakia,2020-08-17,B.1.258,1,50.0,2
81440,Slovakia,2020-08-17,B.1.367,0,0.0,2
81441,Slovakia,2020-08-17,B.1.620,0,0.0,2
81442,Slovakia,2020-08-17,Beta,0,0.0,2
81443,Slovakia,2020-08-17,Delta,0,0.0,2
81444,Slovakia,2020-08-17,Epsilon,0,0.0,2
81445,Slovakia,2020-08-17,Eta,0,0.0,2
81446,Slovakia,2020-08-17,Gamma,0,0.0,2
81447,Slovakia,2020-08-17,Iota,0,0.0,2
81448,Slovakia,2020-08-17,Kappa,0,0.0,2
81449,Slovakia,2020-08-17,Lambda,0,0.0,2
81450,Slovakia,2020-08-17,Mu,0,0.0,2
81451,Slovakia,2020-08-17,Omicron,0,0.0,2
81452,Slovakia,2020-08-17,S:677H.Robin1,0,0.0,2
81453,Slovakia,2020-08-17,S:677P.Pelican,0,0.0,2
81454,Slovakia,2020-08-17,others,1,50.0,2
81455,Slovakia,2020-08-17,non_who,2,100.0,2
81456,Slovakia,2020-08-31,Alpha,0,0.0,1
81457,Slovakia,2020-08-31,B.1.1.277,0,0.0,1
81458,Slovakia,2020-08-31,B.1.1.302,0,0.0,1
81459,Slovakia,2020-08-31,B.1.1.519,0,0.0,1
81460,Slovakia,2020-08-31,B.1.160,0,0.0,1
81461,Slovakia,2020-08-31,B.1.177,0,0.0,1
81462,Slovakia,2020-08-31,B.1.221,0,0.0,1
81463,Slovakia,2020-08-31,B.1.258,1,100.0,1
81464,Slovakia,2020-08-31,B.1.367,0,0.0,1
81465,Slovakia,2020-08-31,B.1.620,0,0.0,1
81466,Slovakia,2020-08-31,Beta,0,0.0,1
81467,Slovakia,2020-08-31,Delta,0,0.0,1
81468,Slovakia,2020-08-31,Epsilon,0,0.0,1
81469,Slovakia,2020-08-31,Eta,0,0.0,1
81470,Slovakia,2020-08-31,Gamma,0,0.0,1
81471,Slovakia,2020-08-31,Iota,0,0.0,1
81472,Slovakia,2020-08-31,Kappa,0,0.0,1
81473,Slovakia,2020-08-31,Lambda,0,0.0,1
81474,Slovakia,2020-08-31,Mu,0,0.0,1
81475,Slovakia,2020-08-31,Omicron,0,0.0,1
81476,Slovakia,2020-08-31,S:677H.Robin1,0,0.0,1
81477,Slovakia,2020-08-31,S:677P.Pelican,0,0.0,1
81478,Slovakia,2020-08-31,others,0,0.0,1
81479,Slovakia,2020-08-31,non_who,1,100.0,1
81480,Slovakia,2020-09-14,Alpha,0,0.0,4
81481,Slovakia,2020-09-14,B.1.1.277,0,0.0,4
81482,Slovakia,2020-09-14,B.1.1.302,0,0.0,4
81483,Slovakia,2020-09-14,B.1.1.519,0,0.0,4
81484,Slovakia,2020-09-14,B.1.160,3,75.0,4
81485,Slovakia,2020-09-14,B.1.177,0,0.0,4
81486,Slovakia,2020-09-14,B.1.221,0,0.0,4
81487,Slovakia,2020-09-14,B.1.258,0,0.0,4
81488,Slovakia,2020-09-14,B.1.367,0,0.0,4
81489,Slovakia,2020-09-14,B.1.620,0,0.0,4
81490,Slovakia,2020-09-14,Beta,0,0.0,4
81491,Slovakia,2020-09-14,Delta,0,0.0,4
81492,Slovakia,2020-09-14,Epsilon,0,0.0,4
81493,Slovakia,2020-09-14,Eta,0,0.0,4
81494,Slovakia,2020-09-14,Gamma,0,0.0,4
81495,Slovakia,2020-09-14,Iota,0,0.0,4
81496,Slovakia,2020-09-14,Kappa,0,0.0,4
81497,Slovakia,2020-09-14,Lambda,0,0.0,4
81498,Slovakia,2020-09-14,Mu,0,0.0,4
81499,Slovakia,2020-09-14,Omicron,0,0.0,4
81500,Slovakia,2020-09-14,S:677H.Robin1,0,0.0,4
81501,Slovakia,2020-09-14,S:677P.Pelican,0,0.0,4
81502,Slovakia,2020-09-14,others,1,25.0,4
81503,Slovakia,2020-09-14,non_who,4,100.0,4
81504,Slovakia,2020-09-28,Alpha,0,0.0,6
81505,Slovakia,2020-09-28,B.1.1.277,0,0.0,6
81506,Slovakia,2020-09-28,B.1.1.302,0,0.0,6
81507,Slovakia,2020-09-28,B.1.1.519,0,0.0,6
81508,Slovakia,2020-09-28,B.1.160,1,16.67,6
81509,Slovakia,2020-09-28,B.1.177,0,0.0,6
81510,Slovakia,2020-09-28,B.1.221,0,0.0,6
81511,Slovakia,2020-09-28,B.1.258,0,0.0,6
81512,Slovakia,2020-09-28,B.1.367,0,0.0,6
81513,Slovakia,2020-09-28,B.1.620,0,0.0,6
81514,Slovakia,2020-09-28,Beta,0,0.0,6
81515,Slovakia,2020-09-28,Delta,0,0.0,6
81516,Slovakia,2020-09-28,Epsilon,0,0.0,6
81517,Slovakia,2020-09-28,Eta,0,0.0,6
81518,Slovakia,2020-09-28,Gamma,0,0.0,6
81519,Slovakia,2020-09-28,Iota,0,0.0,6
81520,Slovakia,2020-09-28,Kappa,0,0.0,6
81521,Slovakia,2020-09-28,Lambda,0,0.0,6
81522,Slovakia,2020-09-28,Mu,0,0.0,6
81523,Slovakia,2020-09-28,Omicron,0,0.0,6
81524,Slovakia,2020-09-28,S:677H.Robin1,0,0.0,6
81525,Slovakia,2020-09-28,S:677P.Pelican,0,0.0,6
81526,Slovakia,2020-09-28,others,5,83.33,6
81527,Slovakia,2020-09-28,non_who,6,100.0,6
81528,Slovakia,2020-10-12,Alpha,0,0.0,1
81529,Slovakia,2020-10-12,B.1.1.277,0,0.0,1
81530,Slovakia,2020-10-12,B.1.1.302,0,0.0,1
81531,Slovakia,2020-10-12,B.1.1.519,0,0.0,1
81532,Slovakia,2020-10-12,B.1.160,0,0.0,1
81533,Slovakia,2020-10-12,B.1.177,0,0.0,1
81534,Slovakia,2020-10-12,B.1.221,0,0.0,1
81535,Slovakia,2020-10-12,B.1.258,0,0.0,1
81536,Slovakia,2020-10-12,B.1.367,0,0.0,1
81537,Slovakia,2020-10-12,B.1.620,0,0.0,1
81538,Slovakia,2020-10-12,Beta,0,0.0,1
81539,Slovakia,2020-10-12,Delta,0,0.0,1
81540,Slovakia,2020-10-12,Epsilon,0,0.0,1
81541,Slovakia,2020-10-12,Eta,0,0.0,1
81542,Slovakia,2020-10-12,Gamma,0,0.0,1
81543,Slovakia,2020-10-12,Iota,0,0.0,1
81544,Slovakia,2020-10-12,Kappa,0,0.0,1
81545,Slovakia,2020-10-12,Lambda,0,0.0,1
81546,Slovakia,2020-10-12,Mu,0,0.0,1
81547,Slovakia,2020-10-12,Omicron,0,0.0,1
81548,Slovakia,2020-10-12,S:677H.Robin1,0,0.0,1
81549,Slovakia,2020-10-12,S:677P.Pelican,0,0.0,1
81550,Slovakia,2020-10-12,others,1,100.0,1
81551,Slovakia,2020-10-12,non_who,1,100.0,1
81552,Slovakia,2020-10-26,Alpha,0,0.0,1
81553,Slovakia,2020-10-26,B.1.1.277,0,0.0,1
